Tipo;Equipo;Nombre;X;Y
Jugador;FC Barcelona;Joan García Pons;6,78;31,06
Jugador;FC Barcelona;Pau Cubarsí Paredes;22,32;31,09
Jugador;FC Barcelona;Gerard Martín Langreo;20,91;47,51
Jugador;FC Barcelona;Ronald Federico Araújo da Silva;20,49;19,60
Jugador;FC Barcelona;João Pedro Cavaco Cancelo;31,26;60,26
Jugador;FC Barcelona;Pedro González López;32,00;31,52
Jugador;FC Barcelona;Eric García Martret;35,02;23,01
Jugador;FC Barcelona;Fermín López Marín;26,55;17,15
Jugador;FC Barcelona;Lamine Yamal Nasroui Ebana;46,86;6,79
Jugador;FC Barcelona;Marcus Rashford;54,38;44,39
Jugador;FC Barcelona;Daniel Olmo Carvajal;41,02;52,24
Jugador;Atlético Madrid;Juan Agustín Musso;86,05;32,76
Jugador;Atlético Madrid;Robin Aime Robert Robin Le Normand;55,02;33,76
Jugador;Atlético Madrid;Clément Lenglet;54,54;23,51
Jugador;Atlético Madrid;Nahuel Molina Lucero;53,30;47,00
Jugador;Atlético Madrid;Nicolás Iván González;49,89;10,37
Jugador;Atlético Madrid;Obed Gómez Vargas;27,77;18,63
Jugador;Atlético Madrid;Jorge Resurrección Merodio;36,61;32,80
Jugador;Atlético Madrid;Giuliano Simeone Baldini;41,45;48,54
Jugador;Atlético Madrid;Thiago Ezequiel Almada;34,28;20,07
Jugador;Atlético Madrid;Antoine Griezmann;31,15;58,14
Jugador;Atlético Madrid;Alejandro Baena Rodríguez;26,04;29,49
Balón;-;ball;22,00;20,21
